"Library","ABI","Alignment","Status","Compliant"
"libc++_shared.so","arm64-v8a","16384 bytes","COMPLIANT","True"
"libdatastore_shared_counter.so","arm64-v8a","16384 bytes","COMPLIANT","True"
"libfbjni.so","arm64-v8a","16384 bytes","COMPLIANT","True"
"libhermes.so","arm64-v8a","16384 bytes","COMPLIANT","True"
"libhermestooling.so","arm64-v8a","16384 bytes","COMPLIANT","True"
"libimagepipeline.so","arm64-v8a","16384 bytes","COMPLIANT","True"
"libimage_processing_util_jni.so","arm64-v8a","16384 bytes","COMPLIANT","True"
"libjsi.so","arm64-v8a","16384 bytes","COMPLIANT","True"
"libnative-filters.so","arm64-v8a","16384 bytes","COMPLIANT","True"
"libnative-imagetranscoder.so","arm64-v8a","16384 bytes","COMPLIANT","True"
"libreactnative.so","arm64-v8a","16384 bytes","COMPLIANT","True"
"librnscreens.so","arm64-v8a","16384 bytes","COMPLIANT","True"
"libc++_shared.so","armeabi-v7a","4096 bytes","NON-COMPLIANT","False"
"libdatastore_shared_counter.so","armeabi-v7a","16384 bytes","COMPLIANT","True"
"libfbjni.so","armeabi-v7a","4096 bytes","NON-COMPLIANT","False"
"libhermes.so","armeabi-v7a","4096 bytes","NON-COMPLIANT","False"
"libhermestooling.so","armeabi-v7a","4096 bytes","NON-COMPLIANT","False"
"libimagepipeline.so","armeabi-v7a","16384 bytes","COMPLIANT","True"
"libimage_processing_util_jni.so","armeabi-v7a","16384 bytes","COMPLIANT","True"
"libjsi.so","armeabi-v7a","4096 bytes","NON-COMPLIANT","False"
"libnative-filters.so","armeabi-v7a","16384 bytes","COMPLIANT","True"
"libnative-imagetranscoder.so","armeabi-v7a","16384 bytes","COMPLIANT","True"
"libreactnative.so","armeabi-v7a","4096 bytes","NON-COMPLIANT","False"
